지역구분,년,작목군,작목,구분,값
강원,2020,노지채소,노지고랭지무,자본생산성,1.45
강원,2020,노지채소,노지고랭지무,kg당 경영비,228.0
강원,2020,노지채소,노지고랭지무,kg당 생산비,308.0
강원,2020,노지채소,노지고랭지배추,총수입,3271176.0
강원,2020,노지채소,노지고랭지배추,주산물가액,3271176.0
강원,2020,노지채소,노지고랭지배추,주산물수량,6466.0
강원,2020,노지채소,노지고랭지배추,수취가격,506.0
강원,2020,노지채소,노지고랭지배추,생산비,2334045.0
강원,2020,노지채소,노지고랭지배추,경영비,1733346.0
강원,2020,노지채소,노지고랭지배추,중간재비,1075273.0
강원,2020,노지채소,노지고랭지배추,보통(무기질)비료비,207855.0
강원,2020,노지채소,노지고랭지배추,부산물(유기질)비료비,171513.0
강원,2020,노지채소,노지고랭지배추,농약비,285270.0
강원,2020,노지채소,노지고랭지배추,수도광열비,49695.0
강원,2020,노지채소,노지고랭지배추,기타재료비,36152.0
강원,2020,노지채소,노지고랭지배추,소농구비,1497.0
강원,2020,노지채소,노지고랭지배추,대농구상각비,150962.0
강원,2020,노지채소,노지고랭지배추,영농시설상각비,43206.0
강원,2020,노지채소,노지고랭지배추,수리·유지비,18002.0
강원,2020,노지채소,노지고랭지배추,기타비용,2582.0
강원,2020,노지채소,노지고랭지배추,농기계·시설임차료,911.0
강원,2020,노지채소,노지고랭지배추,토지임차료,161318.0
강원,2020,노지채소,노지고랭지배추,위탁영농비,94922.0
강원,2020,노지채소,노지고랭지배추,고용노동비,400922.0
강원,2020,노지채소,노지고랭지배추,자가노동비,329876.0
강원,2020,노지채소,노지고랭지배추,유동자본용역비,15327.0
강원,2020,노지채소,노지고랭지배추,고정자본용역비,24941.0
강원,2020,노지채소,노지고랭지배추,토지자본용역비,230555.0
강원,2020,노지채소,노지고랭지배추,부가가치,2195902.0
강원,2020,노지채소,노지고랭지배추,소득,1537829.0
강원,2020,노지채소,노지고랭지배추,종자·종묘비,108539.0
강원,2020,노지채소,노지고랭지배추,고용노동단가(남),16146.0
강원,2020,노지채소,노지고랭지배추,고용노동단가(여),11313.0
강원,2020,노지채소,노지고랭지배추,자가노동단가(남),19548.0
강원,2020,노지채소,노지고랭지배추,자가노동단가(여),19548.0
강원,2020,노지채소,노지고랭지배추,총노동시간,47.5
강원,2020,노지채소,노지고랭지배추,자가노동시간,16.9
강원,2020,노지채소,노지고랭지배추,자가노동시간(남),12.0
강원,2020,노지채소,노지고랭지배추,자가노동시간(여),4.9
강원,2020,노지채소,노지고랭지배추,고용노동시간,30.6
강원,2020,노지채소,노지고랭지배추,고용노동시간(남),9.0
강원,2020,노지채소,노지고랭지배추,고용노동시간(여),21.6
강원,2020,노지채소,노지고랭지배추,소득률,47.0
강원,2020,노지채소,노지고랭지배추,순수익,937131.0
강원,2020,노지채소,노지고랭지배추,순수익율,28.6
강원,2020,노지채소,노지고랭지배추,부가가치율,67.1
강원,2020,노지채소,노지고랭지배추,토지생산성,5126.0
